id;nom_medicament;nom_commercial;categorie;principe_actif;forme_pharmaceutique;dosage;indications;posologie;contre_indications;effets_secondaires;precautions_emploi;interactions_medicamenteuses;conservation;fabricant;pays_fabrication;prescription_requise;prix_estime;date_expiration;numero_lot;code_barres;langue_notice;url_notice_pdf;date_creation
68;Diamicron 60mg;Diamicron 60mg;Antidiabétique;Gliclazide;Comprimé;60mg;Diabète type 2;1 comprimé par jour;Insuffisance hépatique;Hypoglycémie;Repas réguliers;Interaction avec fluconazole;Conserver température ambiante;Servier;France;True;9.80;2025-12-22;LOT456987;3400777555666;Français;https://notice.medicaments.fr/diamicron60_68.pdf;2024-02-25 10:15:00
69;Norvasc 10mg;Norvasc 10mg;Antihypertenseur;Amlodipine;Comprimé;10mg;Hypertension;1 comprimé par jour;Sténose aortique;Œdèmes malléolaires;Surveillance tension;Interaction avec diltiazem;Conserver température ambiante;Pfizer;Belgique;True;12.90;2026-07-05;LOT567098;3400666666777;Français;https://notice.medicaments.fr/norvasc10_69.pdf;2024-03-10 11:45:00
70;Coversyl 10mg;Coversyl 10mg;Antihypertenseur;Périndopril;Comprimé;10mg;Hypertension;1 comprimé par jour;Insuffisance rénale;Toux sèche;Surveillance fonction rénale;Interaction avec diurétiques;Conserver sec;Servier;France;True;14.50;2025-11-28;LOT678109;3400555888999;Français;https://notice.medicaments.fr/coversyl10_70.pdf;2024-01-18 13:20:00
71;Tritace 10mg;Tritace 10mg;Antihypertenseur;Ramipril;Comprimé sécable;10mg;Hypertension;1 comprimé par jour;Insuffisance rénale;Toux hypotension;Surveillance pression;Interaction avec lithium;Conserver température ambiante;Sanofi;France;True;11.20;2026-02-15;LOT789210;3400444999000;Français;https://notice.medicaments.fr/tritace10_71.pdf;2024-02-05 09:30:00
72;Cordarone 100mg;Cordarone 100mg;Antiarythmique;Amiodarone;Comprimé;100mg;FA;1 comprimé par jour;Hyperthyroïdie;Photosensibilisation;Surveillance thyroïde;Interaction avec digoxine;Conserver abri lumière;Sanofi;France;True;10.80;2026-04-12;LOT890321;3400333000111;Français;https://notice.medicaments.fr/cordarone100_72.pdf;2024-03-22 15:15:00
73;Lasilix 20mg;Lasilix 20mg;Diurétique;Furosémide;Comprimé;20mg;Hypertension œdèmes;1 comprimé le matin;Insuffisance rénale;Hypokaliémie;sport;Surveillance kaliémie;Interaction avec AINS;Conserver hors de portée;Sanofi;France;True;3.20;2026-05-20;LOT901432;3400222111222;Français;https://notice.medicaments.fr/lasilix20_73.pdf;2024-01-28 10:00:00
74;Aldactone 25mg;Aldactone 25mg;Diurétique;Spironolactone;Comprimé;25mg;Ascite cirrhose;1 comprimé 2 fois/jour;Insuffisance rénale;Gynécomastie;Surveillance kaliémie;Interaction avec IEC;Conserver température ambiante;Pfizer;France;True;5.90;2026-06-08;LOT123543;3400111333444;Français;https://notice.medicaments.fr/aldactone25_74.pdf;2024-02-18 14:30:00
75;Forlax 5g;Forlax 5g;Laxatif;Macrogol;Poudre;5g;Constipation;1 sachet par jour;Perforation;Flatulences;Diluer 250ml eau;Interaction possible;Conserver au sec;Ipsen;France;False;4.80;2025-10-30;LOT234654;3400999444555;Français;https://notice.medicaments.fr/forlax5_75.pdf;2024-03-05 08:45:00
76;Duphalac 20g;Duphalac 20g;Laxatif;Lactulose;Sirop;20g/30ml;Constipation;15-30 ml soir;Occlusion;Ballonnement;Peut être pris régulier;Interaction avec antiacides;Conserver frais;Mylan;France;False;5.20;2026-01-20;LOT345765;3400888555666;Français;https://notice.medicaments.fr/duphalac20_76.pdf;2024-01-15 12:30:00
77;Maalox Suspension;Maalox Suspension;Anti-ulcéreux;Alginate;Suspension;N/A;Reflux;10-20 ml repas;Insuffisance rénale;Constipation légère;Agiter avant emploi;Espace 2h des autres;Conserver réfrigérateur;Sanofi;France;False;5.90;2026-08-18;LOT456876;3400777666777;Français;https://notice.medicaments.fr/maalox_77.pdf;2024-02-22 16:15:00
78;Spasfon 40mg;Spasfon 40mg;Antispasmodique;Phloroglucinol;Comprimé enrobé;40mg;Spasmes;2 comprimés par prise max 8/jour;Allergie;Rare bouche sèche;Sans sucre;Très bonne tolérance;Conserver sec;Teva;France;False;2.90;2026-03-25;LOT567987;3400666777888;Français;https://notice.medicaments.fr/spasfon40_78.pdf;2024-03-10 09:20:00
79;Dafalgan 500mg;Dafalgan 500mg;Analgésique;Paracétamol;Comprimé effervescent;500mg;Douleurs;1-2 comprimés max 3g/jour;Insuffisance hépatique;Rares allergies;Diluer dans eau;Interaction avec anticoagulants;Conserver sec;UPSA;France;False;4.60;2026-07-12;LOT678098;3400555888999;Français;https://notice.medicaments.fr/dafalgan500_79.pdf;2024-01-20 11:00:00
80;Efferalgan 1g;Efferalgan 1g;Analgésique;Paracétamol;Comprimé effervescent;1000mg;Douleurs intenses;1 comprimé max 3/jour;Insuffisance hépatique;Rare allergies;Diluer eau tiède;Risque hépatique alcool;Conserver sec;UPSA;France;False;5.40;2026-04-28;LOT789109;3400444999000;Français;https://notice.medicaments.fr/efferalgan1g_80.pdf;2024-02-28 14:45:00
81;Advil 200mg;Advil 200mg;Anti-inflammatoire;Ibuprofène;Gélule;200mg;Douleurs;1-2 gélules max 6/jour;Ulcère gastrique;Nausées;Prendre avec nourriture;Interaction avec aspirine;Conserver température ambiante;Pfizer;Belgique;False;4.20;2026-01-15;LOT890210;3400333111222;Français;https://notice.medicaments.fr/advil200_81.pdf;2024-03-18 10:30:00
82;Voltarène Emulgel;Voltarène Emulgel;Anti-inflammatoire topique;Diclofénac;Gel;1%;Douleurs articulaires;Application 3x/jour;Plaie ouverte;Rougeur locale;Ne pas appliquer occlusion;Interaction avec autres AINS;Conserver frais;Novartis;Suisse;False;8.90;2026-06-05;LOT901321;3400222223333;Français/Anglais;https://notice.medicaments.fr/voltarene_82.pdf;2024-01-25 13:15:00
83;Fervex Nuit;Fervex Nuit;Antiviral;Paracétamol+DPH;Poudre;500mg;Rhume fièvre;1 sachet soir;Insuffisance hépatique;Somnolence;Diluer eau chaude;Interaction alcool;Conserver sec;UPSA;France;False;6.80;2025-12-10;LOT123432;3400999333444;Français;https://notice.medicaments.fr/fervexnuit_83.pdf;2024-02-10 15:00:00
84;Toplexil Nourrisson;Toplexil Nourrisson;Antihistaminique;Oxomémazine;Sirop;0.2mg/ml;Toux allergique;Adaptation poids;Prématurité;Somnolence;Prudence nourrisson;Interaction sédatifs;Conserver frais;Biogaran;France;True;5.20;2025-11-05;LOT234543;3400888444555;Français;https://notice.medicaments.fr/toplexilbebe_84.pdf;2024-03-05 08:00:00
85;Zyrtec 10mg;Zyrtec 10mg;Antihistaminique;Cétirizine;Comprimé pelliculé;10mg;Allergies;1 comprimé par jour;Insuffisance rénale;Somnolence légère;Prudence conduite;Interaction alcool;Conserver température ambiante;UCB;Belgique;False;5.90;2026-07-20;LOT345654;3400777555666;Français;https://notice.medicaments.fr/zyrtec10_85.pdf;2024-01-18 16:30:00
86;Claritin 10mg;Claritin 10mg;Antihistaminique;Loratadine;Comprimé;10mg;Rhinite;1 comprimé/jour;Allergie;Fatigue légère;Peu sédatif;Peu d'interactions;Conserver sec;Bayer;Allemagne;False;6.30;2026-02-28;LOT456765;3400666666777;Français;https://notice.medicaments.fr/claritin10_86.pdf;2024-02-22 09:45:00
87;Donormyl 7.5mg;Donormyl 7.5mg;Hypnotique;Doxylamine;Comprimé;7.5mg;Insomnie;1 comprimé coucher;Glaucome angle fermé;Somnolence matinale;Prudence âgé;Interaction atropiniques;Conserver température ambiante;Mylan;France;False;2.80;2026-09-15;LOT567876;3400555888999;Français;https://notice.medicaments.fr/donormyl75_87.pdf;2024-03-10 12:00:00
88;Euphytose Nuit;Euphytose Nuit;Phytothérapie;Plantes;Comprimé;N/A;Sommeil;2 comprimés coucher;Allergie plantes;Légère somnolence;Sans gluten;Potentialisation sédatifs;Conserver sec;Bayer;France;False;5.70;2026-04-10;LOT678987;3400444888999;Français;https://notice.medicaments.fr/euphytosenuit_88.pdf;2024-01-28 14:15:00
89;Sedatif PC Nuit;Sédatif PC Nuit;Sédatif;Valériane;Comprimé;N/A;Anxiété;2 comprimés soir;Allergie plantes;Somnolence;Sans sucre;Interaction avec somnifères;Conserver hors de portée;Boiron;France;False;6.40;2025-10-28;LOT789098;3400333222333;Français;https://notice.medicaments.fr/sedatifpcnuit_89.pdf;2024-02-15 11:30:00
90;Pulmicort 400;Pulmicort 400;Anti-asthmatique;Budésonide;Inhalateur;400µg/dose;Asthme persistant;1 inhalation 2x/jour;Infection non traitée;Candidose oral;Rincer bouche;Interaction kétoconazole;Conserver sec;AstraZeneca;Suède;True;32.50;2026-05-28;LOT890109;3400222333444;Français/Anglais;https://notice.medicaments.fr/pulmicort400_90.pdf;2024-03-18 10:45:00
91;Biafine Émulsion;Biafine Émulsion;Pansement;Acide hyaluronique;Émulsion;N/A;Brûlures;Appliquer couche épaisse;Allergie;Rare irritation;Ne pas ingérer;Aucune interaction;Conserver frais;Medix;France;False;9.90;2026-03-18;LOT901210;3400111112222;Français;https://notice.medicaments.fr/biafineemulsion_91.pdf;2024-01-12 13:45:00
92;Cicalfate+;Cicalfate+;Cicatrisant;Zinc+Cuivre;Crème;N/A;Cicatrisation;2x/jour;Infection active;Très rare allergie;Ne pas avaler;Aucune interaction;Conserver température ambiante;Avène;France;False;10.80;2026-01-30;LOT123321;3400999888777;Français;https://notice.medicaments.fr/cicalfateplus_92.pdf;2024-02-25 09:15:00
93;Lysopaïne Menthol;Lysopaïne Menthol;Antiseptique gorge;Lysozyme;Pastille;N/A;Maux gorge;4 pastilles/jour;Allergie;Rare intolérance;Sans gluten;Aucune;Conserver sec;Bouchara;France;False;4.50;2026-07-15;LOT234432;3400888777666;Français;https://notice.medicaments.fr/lysopainementhol_93.pdf;2024-03-22 14:30:00
94;Hexaspray Adulte;Hexaspray Adulte;Antiseptique;Biclotymol;Spray;N/A;Angine;2 pulvérisations 4x/jour;Hypersensibilité;Brûlure locale;Ne pas avaler;Aucune;Conserver sec;Biogaran;France;False;5.90;2025-11-22;LOT345543;3400777666555;Français;https://notice.medicaments.fr/hexasprayadulte_94.pdf;2024-01-20 16:00:00
95;Magné B6 Adulte;Magné B6 Adulte;Complément;Magnésium;Comprimé;400mg;Carence;2 comprimés/jour;Insuffisance rénale;Diarrhée;Prendre eau;Interaction laxatifs;Conserver sec;Sanofi;France;False;7.80;2026-08-22;LOT456654;3400666555444;Français;https://notice.medicaments.fr/magneb6adulte_95.pdf;2024-02-10 10:15:00
96;Ostérix 1000;Ostérix 1000;Calcium;Calcium+Vit D;Comprimé;1000mg+800UI;Ostéoporose;1 comprimé/jour;Hypercalcémie;Constipation;Prendre repas;Interaction thyroïde;Conserver sec;Bayer;France;False;9.20;2026-02-20;LOT567765;3400555444333;Français;https://notice.medicaments.fr/osterix1000_96.pdf;2024-03-05 13:30:00
97;Humex Grippe;Humex Grippe;Antigrippal;Paracétamol;Gélule;500mg;Grippe;1 gélule 3x/jour;HTA sévère;Somnolence;Prudence alcool;Interaction IMAO;Conserver sec;Sanofi;France;False;7.20;2025-12-15;LOT678876;3400444333222;Français;https://notice.medicaments.fr/humexgrippe_97.pdf;2024-01-28 15:45:00
98;Gaviscombb;Gaviscombb;Anti-reflux;Alginate;Comprimé à croquer;N/A;Reflux;2 comprimés repas;Insuffisance rénale;Ballonnement;Bien mâcher;Interaction anticoagulants;Conserver sec;Reckitt;France;False;6.50;2026-04-28;LOT789987;3400333222111;Français;https://notice.medicaments.fr/gavisconbb_98.pdf;2024-02-18 10:00:00
99;Imodium Instant;Imodium Instant;Antidiarrhéique;Lopéramide;Lyoc;2mg;Diarrhée aiguë;1 lyoc puis 1 après selle;Fièvre dysenterie;Constipation;Fondre langue;Interaction quinidine;Conserver sec;Janssen;Belgique;False;7.80;2026-01-10;LOT890098;3400222111000;Français/Anglais;https://notice.medicaments.fr/imodiuminstant_99.pdf;2024-03-10 11:15:00
100;Smecta Fraise;Smecta Fraise;Antidiarrhéique;Diosmectite;Sachet;3g;Diarrhée enfant;2-3 sachets/jour;Subocclusion;Constipation légère;Diluer eau;Espace 2h;Conserver sec;Ipsen;France;False;5.20;2026-09-05;LOT901109;3400111000999;Français;https://notice.medicaments.fr/smectafraise_100.pdf;2024-01-15 12:30:00
